ts_code,etf名称,3连跌概率,3次日上涨概率,4连跌概率,4次日上涨概率,5连跌概率,5次日上涨概率,6连跌概率,6次日上涨概率,7连跌概率,7次日上涨概率,8连跌概率,8次日上涨概率,9连跌概率,9次日上涨概率,10连跌概率,10次日上涨概率
159567.SZ,港股创新药ETF,10.3%,61.3%,4.0%,70.5%,1.2%,80.0%,0.2%,100.0%,0.0%,,0.0%,,0.0%,,0.0%,
159755.SZ,车电池ETF,13.4%,52.8%,6.3%,48.4%,3.3%,55.8%,1.4%,60.0%,0.6%,50.0%,0.3%,33.3%,0.2%,50.0%,0.1%,100.0%
159792.SZ,港股通互联网ETF,11.4%,55.3%,5.1%,54.0%,2.3%,60.8%,0.9%,66.6%,0.3%,66.6%,0.1%,100.0%,0.0%,,0.0%,
159852.SZ,软件服务ETF,11.1%,50.8%,5.5%,51.6%,2.6%,60.0%,1.1%,66.6%,0.4%,100.0%,0.0%,,0.0%,,0.0%,
159865.SZ,畜牧业ETF,12.6%,48.2%,6.5%,52.0%,3.1%,54.2%,1.4%,68.7%,0.4%,100.0%,0.0%,,0.0%,,0.0%,
159869.SZ,动漫游戏ETF,10.3%,58.6%,4.3%,66.6%,1.4%,56.2%,0.6%,42.8%,0.4%,75.0%,0.1%,100.0%,0.0%,,0.0%,
159870.SZ,化工ETF,10.9%,54.1%,5.0%,53.5%,2.3%,50.0%,1.2%,46.1%,0.6%,71.4%,0.2%,100.0%,0.0%,,0.0%,
159915.SZ,创业板ETF,11.6%,54.7%,5.3%,56.2%,2.3%,56.5%,1.0%,55.0%,0.5%,44.4%,0.3%,40.0%,0.2%,66.6%,0.1%,100.0%
159928.SZ,消费ETF,12.4%,49.8%,6.2%,56.4%,2.7%,50.0%,1.4%,48.1%,0.7%,64.3%,0.3%,40.0%,0.2%,33.3%,0.1%,50.0%
161725.SZ,白酒ETF,14.5%,50.3%,7.2%,50.6%,3.6%,46.3%,1.9%,36.3%,1.2%,50.0%,0.6%,57.1%,0.3%,33.3%,0.2%,50.0%
510050.SH,上证50ETF,11.0%,54.1%,5.1%,57.4%,2.2%,53.5%,1.0%,65.0%,0.4%,100.0%,0.0%,,0.0%,,0.0%,
510300.SH,沪深300ETF,11.5%,56.9%,5.0%,61.6%,1.9%,68.4%,0.6%,75.0%,0.2%,100.0%,0.0%,,0.0%,,0.0%,
512000.SH,证券公司ETF,11.2%,56.9%,4.8%,58.3%,2.0%,62.5%,0.8%,60.0%,0.3%,83.3%,0.1%,100.0%,0.0%,,0.0%,
512100.SH,中证1000ETF,9.5%,53.7%,4.4%,53.4%,2.1%,56.1%,0.9%,61.1%,0.4%,71.4%,0.1%,50.0%,0.1%,100.0%,0.0%,
512170.SH,医疗ETF,11.5%,51.9%,5.5%,47.0%,2.9%,40.0%,1.8%,48.1%,0.9%,50.0%,0.5%,71.4%,0.1%,100.0%,0.0%,
512200.SH,房地产ETF,12.7%,48.8%,6.5%,48.0%,3.4%,43.9%,1.9%,43.2%,1.1%,47.6%,0.6%,36.3%,0.4%,42.8%,0.2%,50.0%
512400.SH,有色ETF,9.9%,55.1%,4.5%,50.0%,2.2%,54.5%,1.0%,55.0%,0.5%,77.8%,0.1%,50.0%,0.1%,100.0%,0.0%,
512660.SH,军工ETF,11.3%,56.4%,4.9%,52.0%,2.4%,53.2%,1.1%,68.2%,0.4%,85.7%,0.1%,100.0%,0.0%,,0.0%,
512800.SH,银行ETF,10.7%,54.9%,4.8%,55.2%,2.2%,58.1%,0.9%,66.6%,0.3%,83.3%,0.1%,100.0%,0.0%,,0.0%,
513030.SH,德国30ETF,7.6%,56.6%,3.3%,57.6%,1.4%,53.5%,0.7%,61.5%,0.3%,100.0%,0.0%,,0.0%,,0.0%,
513080.SH,法国40,7.3%,58.9%,3.0%,66.6%,1.0%,76.9%,0.2%,66.6%,0.1%,100.0%,0.0%,,0.0%,,0.0%,
513100.SH,纳指ETF,8.3%,53.9%,3.8%,51.3%,1.9%,51.3%,0.9%,55.5%,0.4%,37.5%,0.3%,60.0%,0.1%,100.0%,0.0%,
513220.SH,中概互联,10.2%,59.2%,4.2%,72.7%,1.1%,77.7%,0.3%,49.9%,0.1%,100.0%,0.0%,,0.0%,,0.0%,
513520.SH,日经ETF,8.8%,58.5%,3.7%,57.1%,1.6%,62.5%,0.6%,66.6%,0.2%,66.6%,0.1%,100.0%,0.0%,,0.0%,
513690.SH,原油ETF,9.0%,61.8%,3.5%,64.8%,1.2%,76.9%,0.3%,66.6%,0.1%,100.0%,0.0%,,0.0%,,0.0%,
513730.SH,东南亚科技,8.6%,56.3%,3.7%,58.7%,1.5%,71.4%,0.4%,100.0%,0.0%,,0.0%,,0.0%,,0.0%,
515070.SH,人工智能ETF,10.8%,57.2%,4.6%,60.0%,1.8%,53.8%,0.9%,66.6%,0.3%,75.0%,0.1%,100.0%,0.0%,,0.0%,
515220.SH,煤炭ETF,9.9%,54.8%,4.5%,65.5%,1.5%,57.1%,0.7%,44.4%,0.4%,40.0%,0.2%,33.3%,0.1%,50.0%,0.1%,100.0%
516150.SH,稀土ETF,12.2%,55.1%,5.5%,59.0%,2.2%,48.0%,1.2%,61.5%,0.5%,100.0%,0.0%,,0.0%,,0.0%,
518880.SH,黄金ETF,7.6%,62.9%,2.8%,67.8%,0.9%,66.6%,0.3%,50.0%,0.2%,33.3%,0.1%,50.0%,0.1%,100.0%,0.0%,
520830.SH,沙特ETF,11.8%,66.6%,3.9%,83.3%,0.7%,100.0%,0.0%,,0.0%,,0.0%,,0.0%,,0.0%,
560080.SH,中药ETF,12.2%,57.2%,5.2%,52.6%,2.5%,61.1%,1.0%,57.1%,0.4%,66.6%,0.1%,100.0%,0.0%,,0.0%,
562500.SH,机器人ETF,11.5%,55.6%,5.1%,55.3%,2.3%,66.6%,0.8%,85.7%,0.1%,100.0%,0.0%,,0.0%,,0.0%,
588080.SH,科创50ETF,11.6%,58.2%,4.9%,56.9%,2.1%,64.0%,0.8%,66.6%,0.3%,100.0%,0.0%,,0.0%,,0.0%,
588200.SH,芯片ETF,11.2%,55.5%,5.0%,55.5%,2.2%,56.2%,1.0%,71.4%,0.3%,100.0%,0.0%,,0.0%,,0.0%,
